Class,Financial Distress,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83
0,2.3459,1.5756,2.621,56.448,1.1565,34.862,29.984,85.817,22.663,6.018,2.816,82.076,22.353,43.552,1.2961,2.7964,30.145,2.368,18.611,13.486,35.728,1.409,6.9621,33.524,52.091,1905.6,12.763,3.8569,3.416,43.566,44.703,3.5866,38.655,92.282,3.5622,128.74,31.933,10.003,16.093,1.819,16.611,2.6554,33.974,2.6219,1.5779,68.847,46.431,1.297,3166.5,1.1961,66.476,12.908,31.169,38.769,1406.3,1.452,32.465,15.857,-26.964,-23.316,22.077,-75.348,-23.637,-30.266,5.7748,-20.982,15.916,10.4,9667.3,4.7909,25.4,41.598,0,28,79.951,66.12,59.471,18,12,-13.4,29,2.0474,13,33
0,2.2499,1.5443,24.091,59.073,1.077,32.561,30.117,1.121,22.369,58.863,2.776,85.453,19.79,40.927,1.4434,1.8215,30.234,3.4133,24.321,15.278,43.952,1.2603,7.8494,33.971,55.335,2035.8,13.319,3.5759,74.347,37.377,6.203,2.6874,57.597,93.673,5.1694,197.64,28.192,91.326,22.583,6.236,1.372,2.6314,60.254,2.9829,1.7559,73.588,40.782,1.447,3458.6,1.352,66.029,13.393,3.095,36.586,2267.4,23.152,20.834,44.007,-57.524,-53.413,22.343,54.619,-25.748,-39.328,-16.532,57.368,23.905,11.9,9979.2,51.714,10.8,-17.109,2,28,84.66,73.2,63.88,16,12,1.2,29,2.3459,14,34
0,2.2826,1.7217,21.525,55.229,84.101,2.935,33.336,1.2869,25.594,48.077,29.988,79.527,14.713,44.771,1.2336,6.1565,34.898,2.9763,25.124,2.372,54.392,1.0575,4.2601,42.764,46.191,1615,13.528,2.5228,23.312,90.386,59.444,3.8913,70.682,83.634,5.2,58.475,27.066,20.189,29.873,-37.053,19.742,1.8785,10.175,2.2678,1.0903,74.459,38.973,1.2366,3359.1,1.0317,57.236,13.355,35.716,35.965,1984.3,48.413,16.173,77.428,-74.905,-89.065,22.358,5.7265,8.4799,7.4959,2.3437,85.814,25.17,13.5,10601,38.855,12.4,10.131,4,27,93.883,82.3,74.497,16.5,13,0.6,29,2.2499,15,35
0,1.7982,1.7232,20.863,53.398,78.651,29.303,3.298,1.3548,26.526,44.769,31.379,78.584,12.36,46.602,1.1458,1.2984,37.257,2.7874,46.487,30.144,10.194,1.2009,3.824,45.072,45.605,1517.6,13.72,2.3848,21.191,77.934,61.784,6.4314,78.555,85.405,5.0746,277.27,26.549,16.723,59.106,13.338,20.568,1.6877,17.466,2.2658,1.0144,70.769,39.071,1.1476,3389.9,9.786,54.928,13.48,38.133,3.545,2187,80.316,15.499,26.261,-67.856,-86.275,2.274,3.0621,3.9554,-53.449,-9.302,11.207,20.132,12.3,13568,14.529,21.5,33.768,2,22,100,100,100,17.125,14.5,-7,29,2.2826,16,36
0,2.8277,1.6307,18.623,54.772,72.819,27.358,32.085,1.1011,25.575,41.177,28.018,82.958,8.3125,45.228,1.211,3.7455,37.569,2.2426,24.542,45.196,4.824,87.778,4.36,44.553,50.873,1195.3,14.065,2.2696,41.169,38.984,56.015,8.0261,76.923,92.882,4.0446,96.116,22.449,86.195,33.702,30.701,16.702,1.61,26.015,2.708,1.1151,7.094,34.002,1.2127,2902.8,1.1248,55.447,13.748,38.912,32.443,2526.3,1.151,18.004,14.634,0,0,2.248,-7.714,-11.824,-25.736,-21.411,46.844,30.046,12.2,26059,3.8523,30.5,-10.665,0,28,91.5,130.5,132.4,20,14.5,-16,29,1.7982,17,37
0,2.9413,2.1723,31.945,44.139,94.698,4.274,48.126,1.392,33.734,57.188,40.179,89.178,10.686,55.861,79.017,4.9692,45.132,1.9826,38.543,42.237,93.889,1.0619,8.9567,49.243,41.052,2248.3,14.381,1.9677,3.707,30.874,57.144,9.535,60.344,93.005,3.9062,72.446,35.822,5.527,40.701,78.254,10.573,1.6953,1.3512,5.2834,3.0214,86.153,72.374,79.061,3931.4,7.349,50.757,14.326,46.243,46.633,4272.3,4.032,24.243,-13.228,12.618,13.324,21.425,-32.511,-71.099,-30.659,-17.899,107.71,38.823,10.4,31839,-25.841,34.7,36.03,2,32,87.1,175.9,178.1,20,14.5,-20.2,29,2.8277,18,38
0,2.6598,2.0924,30.348,43.822,99.193,4.263,46.532,1.4912,30.595,54.022,40.856,8.913,11.393,56.178,78.007,3.4146,42.977,2.2487,16.099,37.721,37.793,1.1129,9.8047,51.161,42.597,2184.8,14.586,2.1317,22.751,1.225,63.521,9.9398,64.037,97.205,4.6043,105.43,3.405,21.807,1.623,28.578,10.117,1.7657,16.615,5.5528,2.9998,82.831,69.253,78.026,4044.3,75.826,48.839,14.577,44.034,50.748,5137.5,76.703,21.544,17.457,0,0,22.401,3.2148,1.5719,7.1562,-45.408,-20.861,22.334,10.6,32801,-58.122,15.6,22.571,2,30,92.9,203.2,204.5,22,22,6.4,29,2.9413,19,39
0,2.232,2.2263,32.588,40.651,90.804,45.534,49.355,1.6528,35.888,54.909,41.963,89.601,12.617,59.349,68.495,1.3911,50.146,1.9978,86.489,39.744,2.149,1.0134,9.5263,58.209,40.246,2065.6,14.864,1.8398,32.065,40.476,66.519,3.4925,73.255,99.004,4.7804,258.79,3.637,682,95.247,20.896,9.532,1.53,41.811,6.2263,3.4188,8.316,80.166,68.506,3761.8,67.812,41.791,14.767,51.072,52.857,6037.3,17.291,18.995,24.429,0,0,22.466,-15.863,-75.046,12.145,-20.229,28.286,30.023,11,34501,-32.209,11.9,13.871,1,29,91.7,227.5,214.5,21,20.5,8.6,29,2.6598,20,40
1,-16.599,8.744,-34.676,7.935,60.952,-26.316,-86.847,50.609,-56.892,-16.793,-34.521,60.458,-26.892,2.065,3.8427,2.4969,-43.176,3.1998,16.571,16.055,23.966,1.1982,1.6689,4.054,69.143,-304.53,12.664,-70.182,-90.157,10.207,34.993,1.85E+05,57.411,87.137,3.137,144.18,-57.356,49.429,27.187,-19.303,36.522,2.9517,-10.37,56.541,-94.947,-42.057,-437,3.8427,1813.5,3.3484,95.946,12.169,32.927,2.471,162.21,-1,1.943,14.114,0,0,0,7.1241,15.381,3.2702,17.872,34.692,30.087,12.8,7991.4,364.95,15.8,61.476,4,36,85.437,27.07,26.102,16,16,0.2,25,-30.317,8,37
0,2.275,83.537,6.431,6.143,49.359,97.075,-96.852,18.896,13.029,16.674,89.543,49.143,2.595,3.857,1.5927,8.3744,19.667,1.118,31.997,7.579,54.391,1.1944,1.1765,26.216,58.828,497.13,12.642,-50.963,72.613,2.602,11.116,5.9728,22.521,95.764,1.5153,42.988,13.086,67.462,64.826,-52.438,41.953,1.2797,-38.165,91.935,15.329,-25.111,10.469,1.6183,2981.5,1.5253,73.784,11.936,22.249,1.294,243.8,-23.582,32.574,11.334,-10.436,-21.144,12.405,7.1241,15.381,3.2702,17.872,34.692,30.087,12.8,7991.4,364.95,15.8,61.476,4,36,85.437,27.07,26.102,16,16,0.2,12,69.217,28,44
0,3.775,93.286,42.339,61.528,49.212,8.786,-39.606,1.909,86.033,11.005,495,55.026,1.8168,38.472,1.5993,7.9159,17.853,89.707,2.296,98.269,38.925,89.434,1.3211,24.486,58.987,194.59,12.815,-12.426,18.911,25.414,1.126,2.9746,22.881,9.587,1.188,45.478,76.943,66.058,46.656,18.557,37.252,1.2792,-21.715,1.0327,11.366,-10.295,68.812,1.6215,1768.1,1.5333,75.514,12.106,22.877,1.205,274.99,-1.218,41.426,55.868,-78.139,-15.878,19.204,7.4166,7.105,14.321,18.77,124.76,26.124,11.8,8322.8,1.896,15.6,24.579,0,36,107.09,31.31,30.194,17,16,0.4,12,2.275,29,45
0,18.333,93.575,51.198,64.823,63.071,89.359,-40.794,19.663,81.176,14.554,75.299,59.413,2.1539,35.177,1.8428,7.6529,14.168,1.1333,37.156,65.778,5.852,1.0616,1.8886,22.281,63.492,256.68,12.902,-15.461,90.819,13.304,12.484,2.1968,19.794,97.948,1.4583,47.041,86.173,37.821,58.911,39.801,33.395,1.793,31.907,1.0534,15.331,-11.597,78.982,1.8686,1763.6,1.8049,77.719,12.441,19.875,14.053,493.1,13.759,43.251,-22.115,-7.505,-11.899,14.563,3.6373,7.0213,1.1538,9.8951,6.4467,30.245,10.3,8747,11.946,15.2,20.7,0,35,120.87,36.07,35.273,17,15,-0.2,12,3.775,30,46
0,22.253,92.927,44.282,6.581,62.542,69.817,-46.241,19.544,70.804,12.952,5.31E-05,60.752,2.2469,3.419,1.9248,6.4299,11.163,1.1032,20.012,49.682,3.061,1.0295,1.9419,20.375,65.376,152.94,12.935,-13.525,33.381,43.382,12.777,3.2032,2.043,99.341,1.3855,55.988,7.289,12.688,31.997,24.716,32.206,1.8292,-10.621,1.0616,1.375,-13.525,67.288,1.9518,1180.9,1.9121,79.625,12.465,14.889,12.743,495.62,-56.086,45.142,-3.412,40.294,64.427,1.405,5.1442,9.9099,2.0408,-14.903,-21.907,34.285,11.5,9042.5,-18.748,10.4,47.429,4,33,54.806,39.8,38.377,17.167,16,5.6,12,18.333,31,47
0,44.662,1.086,80.419,57.018,66.855,1.124,48.281,33.217,12.029,1.871,67.581,60.966,2.4925,42.982,1.3266,5.3558,16.812,1.2398,52.728,67.448,93.926,1.0966,2.2419,24.094,56.138,264.81,12.887,13.847,-46.601,8.807,18.647,26.873,27.892,98.455,1.6334,67.217,13.191,2.049,78.869,19.147,29.821,1.5554,73.143,1.4413,26.967,11.233,14.104,1.3418,1415.3,1.3061,75.906,12.484,21.949,16.108,466.74,26.778,40.931,-11.722,-13.775,-20.604,12.405,5.3189,5.7874,3.9589,4.1343,3.8227,39.432,11.3,9225.9,-43.911,11.9,25.157,4,31,59.806,44.53,42.822,15.5,14,2.1,12,22.253,32,48
0,1.2394,1.19,12.238,5.663,78.135,20.811,10.594,29.836,15.662,28.217,11.649,66.341,4.5916,4.337,1.3057,8.6687,26.634,1.2036,52.622,58.007,94.396,1.1778,3.18,32.836,55.746,469.21,13.039,7.3752,16.437,8.833,16.633,12.175,21.287,9.844,1.7921,41.529,18.447,20.367,67.348,36.082,24.571,1.8016,77.188,1.7651,49.807,24.427,2.161,1.3184,1662.9,1.2854,67.164,12.792,30.299,25.656,745.83,27.847,436,-40.633,-27.169,-34.771,31.311,6.7298,11.801,-1.823,5.8267,2.6566,27.729,10.5,9357.4,-10.689,18.4,1.3677,2,29,66.262,52.74,49.206,15.5,12,-6.4,12,44.662,33,49
0,1.7741,1.8267,26.758,35.965,1.0297,27.086,28.859,45.172,25.986,41.787,32.207,63.767,11.998,64.035,56.164,7.8692,26.304,1.443,14.758,21.924,42.276,1.6148,3.6826,34.124,34.908,1029.7,13.043,3.5681,37.014,10.574,15.768,6.9232,15.313,9.706,2.1905,45.748,41.963,16.513,14.332,32.274,27.961,1.608,1.1946,2.2901,95.697,45.067,74.401,56.575,2464.3,54.513,65.876,13.072,29.084,35.138,890.48,37.395,47.008,14.222,0,0,98.636,-75.348,-23.637,-30.266,5.7748,-20.982,15.916,10.4,9667.3,4.7909,25.4,41.598,0,28,79.951,66.12,59.471,18,12,-13.4,12,1.2394,34,50
0,72.655,1.7263,19.411,3.838,86.503,25.093,2.469,4.611,2.244,31.502,36.453,58.683,148.18,6.162,62.286,8.5602,29.008,1.3486,43.975,19.576,12.937,1.4741,2.4106,36.353,33.992,944.73,13.278,3.5035,26.471,43.881,15.674,11.139,1.812,88.567,2.1188,42.055,33.078,71.213,50.837,62.444,35.885,1.4038,-82.546,1.7171,54.093,40.069,50.576,62.653,2999,55.165,63.647,13.133,31.995,31.446,953.22,-4.305,40.826,6.231,0,0,25.944,54.619,-25.748,-39.328,-16.532,57.368,23.905,11.9,9979.2,51.714,10.8,-17.109,2,28,84.66,73.2,63.88,16,12,1.2,12,1.7741,35,51
0,8.559,1.5447,19.438,37.819,77.048,21.684,20.037,39.513,25.229,3.126,24.975,56.818,92.486,62.181,60.821,7.4631,28.144,1.2883,3.359,30.431,91.321,1.356,1.9552,35.862,36.782,565.47,13.456,3.8454,19.546,10.373,14.534,22.636,18.863,97.257,2.1987,48.238,34.211,16.681,43.596,64.787,39.407,1.2391,19.711,1.5779,49.327,32.223,51.397,61.112,1808.9,59.153,64.138,13.195,31.112,27.631,967.51,89.713,38.357,31.278,78.059,10.131,15.589,5.7265,8.4799,7.4959,2.3437,85.814,25.17,13.5,10601,38.855,12.4,10.131,4,27,93.883,82.3,74.497,16.5,13,0.6,12,72.655,36,52
0,1.4163,2.1297,12.151,3.346,81.157,16.804,35.976,63.328,14.972,18.261,29.114,67.821,13.253,6.654,50.285,4.6793,20.705,1.2524,20.363,15.624,63.945,1.1966,2.8809,28.717,31.845,357.21,13.467,2.2559,10.532,16.154,20.166,15.9,24.849,95.172,1.7569,76.935,17.916,24.276,25.091,64.427,28.171,1.2197,-3.683,2.362,43.133,54.067,36.315,50.502,1956.1,47.858,71.283,13.258,23.412,23.306,1029.8,-22.572,46.193,-2.776,0,0,26.502,3.0621,3.9554,-53.449,-9.302,11.207,20.132,12.3,13568,14.529,21.5,33.768,2,22,100,100,100,17.125,14.5,-7,12,8.559,37,53
0,1.8118,1.5107,23.817,44.954,87.366,32.337,22.424,36.379,27.261,43.267,30.932,66.332,23.782,55.046,81.666,10.13,37.013,1.2957,59.388,15.564,13.526,1.3171,2.814,43.268,43.908,1090.5,13.91,3.8961,55.749,10.464,15.973,7.9118,18.283,97.672,2.2838,35.537,35.906,1.901,67.976,67.666,31.047,1.5872,2.0528,1.773,76.713,40.737,52.981,81.932,2520.4,79.765,56.732,13.775,38.515,37.801,1681.3,50.652,38.255,71.648,-43.681,-49.998,2.513,-7.714,-11.824,-25.736,-21.411,46.844,30.046,12.2,26059,3.8523,30.5,-10.665,0,28,91.5,130.5,132.4,20,14.5,-16,12,1.4163,38,54
0,86.188,1.9022,21.737,36.024,9.797,29.364,32.087,78.257,22.187,33.977,31.619,6.765,13.815,63.976,5.631,4.2073,29.973,1.9955,31.376,21.696,88.226,1.4482,3.0629,3.326,35.563,1245.6,14.134,3.0533,2.515,46.094,27.831,21.732,28.408,9.872,2.99,85.566,32.131,72.049,32.026,40.339,31.986,1.5314,14.221,2.2001,67.957,50.155,60.339,56.437,3665.9,55.589,6.674,14.114,3.115,32.585,2131.8,66.383,32.765,28.938,0,0,22.203,-32.511,-71.099,-30.659,-17.899,107.71,38.823,10.4,31839,-25.841,34.7,36.03,2,32,87.1,175.9,178.1,20,14.5,-20.2,12,1.8118,39,55
0,1.0964,2.0867,16.606,31.573,90.574,23.381,33.887,86.546,18.335,24.269,30.473,65.071,11.075,68.427,46.141,3.6752,25.814,1.7406,90.174,23.308,28.917,1.3919,2.6254,3.066,31.184,469.68,14.162,2.6728,28.289,38.907,26.988,15.559,29.797,98.768,2.5103,97.954,2.552,56.859,99.558,-49.333,345,1.3237,-21.441,1.9834,48.135,49.523,52.597,463,1935.3,45.572,6.934,14.063,27.851,2.777,2065.9,-12.008,36.081,10.909,0,0,2.451,3.2148,1.5719,7.1562,-45.408,-20.861,22.334,10.6,32801,-58.122,15.6,22.571,2,30,92.9,203.2,204.5,22,22,6.4,12,86.188,40,56
0,1.277,3.1096,13.363,21.635,70.654,17.303,44.608,1.2587,18.914,17.053,3.926,65.753,57.872,78.365,27.607,3.7567,2.449,1.3503,6.494,42.318,30.712,1.0745,2.0903,31.752,21.145,373.2,14.149,1.5839,-12.581,48.992,26.614,7.4763,37.668,97.736,1.9785,95.829,20.324,62.517,91.912,-22.975,33.801,90.159,-20.542,2.3184,39.535,56.923,61.768,2.769,2188.5,26.982,68.248,13.802,28.408,22.434,1758.6,-11.447,35.712,-32.566,0,0,24.307,-15.863,-75.046,12.145,-20.229,28.286,30.023,11,34501,-32.209,11.9,13.871,1,29,91.7,227.5,214.5,21,20.5,8.6,12,1.0964,41,57
0,7.455,1.2101,11.839,76.603,72.283,15.688,15.207,32.132,16.379,50.601,8.407,87.597,18.948,23.397,3.274,3.8539,21.704,88.644,21.469,11.454,29.657,82.518,7.3789,25.563,72.391,1359.3,13.954,4.7534,9.832,42.122,23.261,10.197,3.218,94.501,1.1909,93.412,13.516,18.003,29.701,27.515,9.796,3.0894,11.961,2.3884,1.2086,64.994,15.455,3.2918,2686.3,3.094,74.437,13.629,23.566,18.478,272.73,56.431,60.698,54.837,21.086,29.172,18.865,7.1241,15.381,3.2702,17.872,34.692,30.087,12.8,7991.4,364.95,15.8,61.476,4,36,85.437,27.07,26.102,16,16,0.2,23,96.524,12,37
0,38.233,1.1486,1.512,78.187,72.707,19.198,11.208,48.278,20.795,69.316,11.331,86.633,22.293,21.813,3.5845,3.0584,26.405,1.1909,29.533,11.845,39.155,83.924,7.455,31.122,75.426,994.75,14.09,6.4872,14.605,27.615,36.414,65.593,50.083,96.468,1.729,117.71,17.452,1.266,40.619,15.276,97.527,3.3332,46.359,2.2366,1.5503,51.381,19.338,3.6079,1435.1,3.4579,68.878,13.771,28.187,22.628,417.22,18.818,4.205,14.099,-71.149,-97.858,18.303,7.4166,7.105,14.321,18.77,124.76,26.124,11.8,8322.8,1.896,15.6,24.579,0,36,107.09,31.31,30.194,17,16,0.4,23,7.455,13,38
0,19.598,1.1069,14.045,80.683,49.922,1.173,81.653,44.606,28.134,72.707,57.813,84.552,18.437,19.317,4.1767,2.3402,23.496,8.731,28.775,12.744,3.767,59.044,4.006,28.242,76.387,928.84,14.501,6.114,50.779,4.296,34.073,2.329,68.252,94.675,1.2167,153.83,16.611,22.239,57.639,35.289,12.462,2.5843,40.063,1.5501,1.127,42.269,17.408,4.2172,1277.5,3.9543,71.758,13.806,25.226,14.099,421.47,16.688,4.103,92.664,-5.502,-11.021,15.185,3.6373,7.0213,1.1538,9.8951,6.4467,30.245,10.3,8747,11.946,15.2,20.7,0,35,120.87,36.07,35.273,17,15,-0.2,23,38.233,14,39
0,95.538,1.0243,10.278,84.027,45.182,73.896,19.752,45.144,22.748,64.343,22.358,83.092,2.116,15.973,5.2604,1.763,16.355,1.0596,51.077,77.293,62.968,54.375,3.9458,18.837,81.117,900.92,14.782,22.875,32.547,291,36.619,2.8474,81.049,96.537,1.3055,204.19,12.369,18.218,11.305,1.996,11.451,2.8285,-30.059,1.395,89.757,12.365,12.232,5.2994,1400.2,5.0782,81.163,13.988,18.908,85.108,505.59,-15.259,34.607,21.791,22.816,50.499,12.165,5.1442,9.9099,2.0408,-14.903,-21.907,34.285,11.5,9042.5,-18.748,10.4,47.429,4,33,54.806,39.8,38.377,17.167,16,5.6,23,19.598,15,40
0,1.6764,1.1074,67.822,82.447,43.839,12.902,8.612,63.442,15.471,38.638,77.654,88.778,39.941,17.553,4.6969,1.234,2.943,1.3898,31.741,73.685,39.594,49.381,7.2144,87.482,80.166,834.41,15.121,5.0904,40.353,22.808,50.858,9.3846,1.1601,97.234,1.5231,291.74,76.395,12.994,72.404,36.183,60.766,2.4975,-73.828,2.8887,1.1161,49.062,82.261,4.7189,2159.6,4.567,91.252,14.297,1.835,38.351,793.94,-38.329,28.783,-25.518,-36.525,-83.316,51.415,5.3189,5.7874,3.9589,4.1343,3.8227,39.432,11.3,9225.9,-43.911,11.9,25.157,4,31,59.806,44.53,42.822,15.5,14,2.1,23,95.538,16,41
0,2.5348,1.0481,77.902,81.324,44.515,29.445,38.559,59.741,175,41.713,10.869,83.998,1.0419,18.676,4.3545,1.5467,66.147,1.3401,3.013,63.488,37.595,52.996,8.8689,12.918,80.142,1201.6,15.347,11.545,25.367,11.819,47.878,15.013,1.0755,98.547,1.5389,232.75,92.743,63.283,67.684,27.301,50.192,2.3836,44.001,3.7209,1.5521,20.646,95.792,4.3666,2880.6,4.2912,87.082,14.538,79.631,57.506,1456.7,18.033,28.927,35.527,-52.244,-11.736,76.651,6.7298,11.801,-1.823,5.8267,2.6566,27.729,10.5,9357.4,-10.689,18.4,1.3677,2,29,66.262,52.74,49.206,15.5,12,-6.4,23,1.6764,17,42
